Transect_id,Species,TL_cm
37,white grunt,14
37,white grunt,15
37,white grunt,16
37,white grunt,17
37,white grunt,18
37,white grunt,19
37,white grunt,20
37,white grunt,17
37,white grunt,14
37,white grunt,16
37,white grunt,24
37,white grunt,8
37,white grunt,9
37,redband parrotfish,16
37,redband parrotfish,8
37,redband parrotfish,7
37,redband parrotfish,14
38,white grunt,7
38,white grunt,7
38,white grunt,7
38,white grunt,7
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,6
38,white grunt,6
38,white grunt,6
38,white grunt,6
38,white grunt,6
38,white grunt,6
38,white grunt,7
38,white grunt,7
38,white grunt,7
38,white grunt,7
38,white grunt,7
38,white grunt,7
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,6
38,white grunt,7
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,9
38,white grunt,9
38,white grunt,9
38,white grunt,9
38,white grunt,8
38,white grunt,9
38,white grunt,10
38,white grunt,10
38,white grunt,10
38,white grunt,11
38,white grunt,16
38,white grunt,20
38,white grunt,18
38,white grunt,19
38,white grunt,21
38,white grunt,12
38,white grunt,13
38,white grunt,14
38,white grunt,15
38,white grunt,16
38,white grunt,13
38,white grunt,14
38,white grunt,15
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,8
38,white grunt,9
38,white grunt,9
38,white grunt,9
38,white grunt,9
38,white grunt,9
38,white grunt,9
38,white grunt,9
38,white grunt,9
38,white grunt,9
38,white grunt,9
38,white grunt,10
38,white grunt,10
38,white grunt,10
38,white grunt,10
38,white grunt,10
38,white grunt,10
38,white grunt,10
38,white grunt,10
38,white grunt,10
38,white grunt,10
38,redband parrotfish,9
38,redband parrotfish,9
39,redband parrotfish,20
39,redband parrotfish,15
39,redband parrotfish,14
39,redband parrotfish,18
39,redband parrotfish,17
40,redband parrotfish,3
40,redband parrotfish,2
40,redband parrotfish,3
40,redband parrotfish,4
40,redband parrotfish,20
40,redband parrotfish,6
40,redband parrotfish,6
40,redband parrotfish,4
40,redband parrotfish,7
40,redband parrotfish,10
40,redband parrotfish,11
41,white grunt,20
41,white grunt,20
41,redband parrotfish,6
41,redband parrotfish,7
41,redband parrotfish,4
41,redband parrotfish,3
41,redband parrotfish,7
41,redband parrotfish,2
42,redband parrotfish,20
43,redband parrotfish,24
43,redband parrotfish,21
43,redband parrotfish,4
43,redband parrotfish,4
43,redband parrotfish,5
43,redband parrotfish,6
43,redband parrotfish,2
43,redband parrotfish,3
43,redband parrotfish,3
43,redband parrotfish,6
44,redband parrotfish,6
44,redband parrotfish,19
45,white grunt,23
45,white grunt,20
45,white grunt,18
45,redband parrotfish,7
45,redband parrotfish,7
45,redband parrotfish,5
45,redband parrotfish,6
46,white grunt,23
46,white grunt,21
46,white grunt,20
46,redband parrotfish,7
46,redband parrotfish,6
46,redband parrotfish,6
46,redband parrotfish,5
46,redband parrotfish,3
46,redband parrotfish,3
46,redband parrotfish,3
46,redband parrotfish,16
46,redband parrotfish,22
46,redband parrotfish,10
46,redband parrotfish,9
46,redband parrotfish,8
47,white grunt,23
47,white grunt,25
47,white grunt,8
47,white grunt,19
47,white grunt,20
47,redband parrotfish,18
47,redband parrotfish,8
47,redband parrotfish,6
47,redband parrotfish,13
47,redband parrotfish,8
47,redband parrotfish,7
47,redband parrotfish,4
47,redband parrotfish,5
47,redband parrotfish,21
47,redband parrotfish,7
47,redband parrotfish,2
48,redband parrotfish,2
48,redband parrotfish,6
48,redband parrotfish,5
50,redband parrotfish,7
50,redband parrotfish,3
50,redband parrotfish,4
50,redband parrotfish,5
50,redband parrotfish,4
50,redband parrotfish,5
50,redband parrotfish,6
50,redband parrotfish,2
50,redband parrotfish,2
50,redband parrotfish,2
50,redband parrotfish,8
50,redband parrotfish,6
50,redband parrotfish,2
50,redband parrotfish,2
50,redband parrotfish,3
50,redband parrotfish,4
50,redband parrotfish,7
50,redband parrotfish,7
50,redband parrotfish,3
50,redband parrotfish,5
50,redband parrotfish,6
50,redband parrotfish,7
50,redband parrotfish,8
50,redband parrotfish,9
9497,redband parrotfish,3
9497,redband parrotfish,4
9497,redband parrotfish,4
9497,redband parrotfish,4
9497,redband parrotfish,5
9497,redband parrotfish,5
9497,redband parrotfish,6
9497,redband parrotfish,6
9497,redband parrotfish,7
9497,redband parrotfish,14
9497,redband parrotfish,20
9498,redband parrotfish,2
9498,redband parrotfish,2
9498,redband parrotfish,2
9498,redband parrotfish,3
9498,redband parrotfish,3
9498,redband parrotfish,3
9498,redband parrotfish,3
9498,redband parrotfish,4
9498,redband parrotfish,4
9498,redband parrotfish,4
9498,redband parrotfish,5
9498,redband parrotfish,5
9498,redband parrotfish,5
9498,redband parrotfish,5
9498,redband parrotfish,5
9498,redband parrotfish,5
9498,redband parrotfish,5
9498,redband parrotfish,5
9498,redband parrotfish,6
9498,redband parrotfish,6
9498,redband parrotfish,6
9498,redband parrotfish,7
9498,redband parrotfish,24
9518,redband parrotfish,2
9518,redband parrotfish,3
9518,redband parrotfish,5
9518,redband parrotfish,16
9518,redband parrotfish,17
9518,redband parrotfish,18
9518,redband parrotfish,23
9519,redband parrotfish,2
9519,redband parrotfish,4
9519,redband parrotfish,4
9519,redband parrotfish,5
9519,redband parrotfish,5
9519,redband parrotfish,5
9519,redband parrotfish,6
9519,redband parrotfish,6
9519,redband parrotfish,7
9519,redband parrotfish,7
9519,redband parrotfish,7
9519,redband parrotfish,9
9520,redband parrotfish,2
9520,redband parrotfish,2
9520,redband parrotfish,4
9520,redband parrotfish,5
9520,redband parrotfish,17
9520,redband parrotfish,18
9520,white grunt,16
9520,white grunt,24
9521,redband parrotfish,21
9521,redband parrotfish,23
9522,redband parrotfish,2
9522,redband parrotfish,3
9522,redband parrotfish,3
9522,redband parrotfish,4
9522,redband parrotfish,4
9522,redband parrotfish,5
9522,redband parrotfish,5
9522,redband parrotfish,6
9522,redband parrotfish,6
9522,redband parrotfish,6
9522,redband parrotfish,6
9522,redband parrotfish,6
9522,redband parrotfish,8
9522,redband parrotfish,10
9522,redband parrotfish,23
9523,redband parrotfish,2
9523,redband parrotfish,4
9523,redband parrotfish,12
9523,redband parrotfish,22
9524,redband parrotfish,2
9524,redband parrotfish,2
9524,redband parrotfish,2
9524,redband parrotfish,2
9524,redband parrotfish,3
9524,redband parrotfish,3
9524,redband parrotfish,5
9524,redband parrotfish,6
9525,redband parrotfish,6
9525,redband parrotfish,6
9525,redband parrotfish,8
9525,redband parrotfish,17
9526,redband parrotfish,5
9526,redband parrotfish,5
9526,redband parrotfish,6
9526,redband parrotfish,8
9526,redband parrotfish,8
9526,redband parrotfish,20
9526,white grunt,28
9527,redband parrotfish,3
9527,redband parrotfish,4
9527,redband parrotfish,5
9527,redband parrotfish,6
9527,redband parrotfish,7
9527,redband parrotfish,7
9527,redband parrotfish,8
9527,redband parrotfish,8
9527,redband parrotfish,16
9527,redband parrotfish,18
9528,redband parrotfish,7
9528,redband parrotfish,8
9528,redband parrotfish,10
9528,white grunt,10
9528,white grunt,13
9528,white grunt,14
9528,white grunt,16
9528,white grunt,16
9528,white grunt,17
9528,white grunt,17
9528,white grunt,18
9528,white grunt,19
9528,white grunt,20
9528,white grunt,20
9528,white grunt,21
9528,white grunt,22
9528,white grunt,23
9528,white grunt,23
9528,white grunt,24
9529,redband parrotfish,5
9529,redband parrotfish,9
9529,redband parrotfish,16
9529,white grunt,2
9529,white grunt,7
9529,white grunt,7
9529,white grunt,7
9529,white grunt,7
9529,white grunt,8
9529,white grunt,8
9529,white grunt,8
9529,white grunt,8
9529,white grunt,8
9529,white grunt,9
9529,white grunt,10
9529,white grunt,10
9529,white grunt,11
9529,white grunt,11
9529,white grunt,11
9529,white grunt,12
9529,white grunt,12
9529,white grunt,12
9529,white grunt,13
9529,white grunt,14
9529,white grunt,14
9529,white grunt,14
9529,white grunt,16
9529,white grunt,16
9529,white grunt,18
9529,white grunt,18
9529,white grunt,20
9529,white grunt,21
9529,white grunt,22
9529,white grunt,24
9530,redband parrotfish,5
9530,redband parrotfish,6
9530,redband parrotfish,6
9530,redband parrotfish,6
9530,redband parrotfish,8
9530,redband parrotfish,9
9530,white grunt,6
9530,white grunt,7
9530,white grunt,7
9530,white grunt,7
9530,white grunt,7
9530,white grunt,7
9530,white grunt,7
9530,white grunt,8
9530,white grunt,8
9530,white grunt,8
9530,white grunt,8
9530,white grunt,9
9530,white grunt,9
9530,white grunt,9
9530,white grunt,11
9530,white grunt,11
9530,white grunt,11
9530,white grunt,11
9530,white grunt,12
9530,white grunt,12
9530,white grunt,14
9530,white grunt,15
9530,white grunt,16
9530,white grunt,18
9530,white grunt,20
9531,redband parrotfish,6
9531,white grunt,6
9531,white grunt,6
9531,white grunt,6
9531,white grunt,6
9531,white grunt,6
9531,white grunt,6
9531,white grunt,6
9531,white grunt,7
9531,white grunt,7
9531,white grunt,7
9531,white grunt,7
9531,white grunt,7
9531,white grunt,7
9531,white grunt,7
9531,white grunt,7
9531,white grunt,7
9531,white grunt,7
9531,white grunt,7
9531,white grunt,7
9531,white grunt,7
9531,white grunt,8
9531,white grunt,8
9531,white grunt,8
9531,white grunt,8
9531,white grunt,8
9531,white grunt,8
9531,white grunt,8
9531,white grunt,8
9531,white grunt,8
9531,white grunt,8
9531,white grunt,8
9531,white grunt,8
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,9
9531,white grunt,10
9531,white grunt,10
9531,white grunt,10
9531,white grunt,10
9531,white grunt,10
9531,white grunt,10
9531,white grunt,12
9531,white grunt,12
9531,white grunt,12
9531,white grunt,13
9531,white grunt,13
9531,white grunt,13
9531,white grunt,14
9531,white grunt,14
9531,white grunt,14
9531,white grunt,14
9531,white grunt,15
9531,white grunt,15
9531,white grunt,15
9531,white grunt,16
9531,white grunt,16
9531,white grunt,16
9531,white grunt,18
9532,redband parrotfish,6
9532,redband parrotfish,7
9532,white grunt,7
9532,white grunt,7
9532,white grunt,8
9532,white grunt,8
9532,white grunt,8
9532,white grunt,9
9532,white grunt,9
9532,white grunt,10
9532,white grunt,10
9532,white grunt,10
9532,white grunt,10
9532,white grunt,11
9532,white grunt,12
9533,redband parrotfish,2
9533,white grunt,8
9533,white grunt,8
9533,white grunt,8
9533,white grunt,8
9533,white grunt,8
9533,white grunt,8
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,9
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9533,white grunt,10
9534,redband parrotfish,2
9534,redband parrotfish,3
9534,redband parrotfish,3
9534,redband parrotfish,3
9534,redband parrotfish,4
9534,redband parrotfish,4
9534,redband parrotfish,5
9534,redband parrotfish,5
9534,redband parrotfish,8
9534,redband parrotfish,8
9534,redband parrotfish,10
9534,redband parrotfish,11
9534,redband parrotfish,12
9534,redband parrotfish,15
9535,redband parrotfish,2
9535,redband parrotfish,3
9535,redband parrotfish,3
9535,redband parrotfish,4
9535,redband parrotfish,4
9535,redband parrotfish,4
9535,redband parrotfish,4
9535,redband parrotfish,4
9535,redband parrotfish,5
9535,redband parrotfish,5
9535,redband parrotfish,6
9535,redband parrotfish,6
9535,redband parrotfish,9
9535,redband parrotfish,9
9535,redband parrotfish,13
9535,redband parrotfish,15
9535,redband parrotfish,17
9535,redband parrotfish,21
9535,redband parrotfish,22
9536,redband parrotfish,2
9536,redband parrotfish,5
9536,redband parrotfish,5
9536,redband parrotfish,5
9536,redband parrotfish,6
9536,redband parrotfish,6
9536,redband parrotfish,6
9536,redband parrotfish,6
